iter	RMSE
0	9869.649553
1	9722.993382
2	9545.875054
3	9415.594545
4	9298.176521
5	9188.908154
6	9091.226453
7	8995.10833
8	8919.229215
9	8841.770317
10	8770.1205
11	8705.516605
12	8635.645692
13	8573.050366
14	8516.902975
15	8471.139434
16	8372.539289
17	8325.422015
18	8249.420691
19	8209.566229
20	8119.379698
21	8083.175548
22	8049.932893
23	8020.242195
24	7955.849732
25	7926.576529
26	7901.656853
27	7855.147718
28	7780.231341
29	7759.711333
30	7731.782727
31	7712.608329
32	7642.323201
33	7626.328455
34	7609.491376
35	7554.933888
36	7540.562219
37	7525.241751
38	7487.225105
39	7475.871364
40	7463.940428
41	7452.693232
42	7442.773177
43	7381.863414
44	7371.655444
45	7314.21025
46	7304.839686
47	7298.308539
48	7243.183468
49	7232.262589
50	7224.462829
51	7170.593254
52	7162.357277
53	7154.97417
54	7148.161282
55	7137.614025
56	7132.85536
57	7080.613607
58	7030.585104
59	7024.812526
60	7017.684941
61	6968.4572
62	6964.44442
63	6940.171352
64	6930.087953
65	6909.878134
66	6906.015976
67	6857.445741
68	6851.183664
69	6846.789978
70	6842.203698
71	6838.167416
72	6818.941346
73	6813.463821
74	6805.357048
75	6759.626091
76	6753.874954
77	6749.399182
78	6747.058409
79	6744.634535
80	6739.013488
81	6695.808936
82	6693.451736
83	6689.449576
84	6681.795828
85	6673.069162
86	6669.899332
87	6666.069304
88	6664.676584
89	6621.988142
90	6604.259301
91	6590.454204
92	6580.536936
93	6576.906468
94	6564.226883
95	6561.439027
96	6520.684529
97	6517.173022
98	6515.568999
99	6474.856499
100	6435.991901
101	6415.375815
102	6412.872868
103	6409.553014
104	6408.318854
105	6406.109944
106	6368.246687
107	6330.106389
108	6326.438098
109	6320.097964
110	6309.000902
111	6289.649416
112	6287.473746
113	6276.028408
114	6247.88362
115	6235.016657
116	6198.961428
117	6196.107135
118	6192.327155
119	6178.916919
120	6175.753661
121	6165.736683
122	6143.6397
123	6140.539197
124	6139.113037
125	6111.211257
126	6105.397514
127	6102.359225
128	6100.050951
129	6098.732996
130	6066.434718
131	6060.590374
132	6058.655849
133	6054.120222
134	6053.174179
135	6027.144243
136	6024.53742
137	6022.279047
138	6019.748381
139	6015.918738
140	6007.551106
141	6005.582517
142	5995.916517
143	5964.503442
144	5954.203697
145	5922.774457
146	5920.702687
147	5918.914999
148	5917.349047
149	5887.679499
150	5853.081571
151	5824.386015
152	5823.025839
153	5821.240305
154	5812.940161
155	5805.666717
156	5803.293145
157	5787.665466
158	5756.064421
159	5754.03716
160	5727.49442
161	5726.226413
162	5724.560628
163	5721.689399
164	5719.665751
165	5716.635144
166	5715.436091
167	5696.598502
168	5685.923118
169	5683.649652
170	5682.39185
171	5679.795191
172	5678.415155
173	5652.86071
174	5651.760491
175	5636.8256
176	5630.432423
177	5606.005593
178	5586.661109
179	5585.557093
180	5583.94481
181	5583.43972
182	5564.648659
183	5557.524752
184	5556.236772
185	5554.404051
186	5531.585677
187	5531.210687
188	5524.541796
189	5513.53024
190	5511.443745
191	5489.038431
192	5487.678163
193	5486.25733
194	5464.26158
195	5462.717226
196	5450.306379
197	5448.583718
198	5447.555025
199	5446.909565
200	5446.005933
201	5444.946174
202	5437.691557
203	5435.828841
204	5424.641254
205	5422.900205
206	5422.071845
207	5421.36502
208	5415.501654
209	5409.339162
210	5399.837116
211	5399.044663
212	5374.56045
213	5371.270971
214	5365.889786
215	5345.91622
216	5345.18701
217	5343.574425
218	5328.823876
219	5326.963314
220	5325.094587
221	5305.335053
222	5285.873802
223	5284.775581
224	5277.92517
225	5269.953037
226	5264.89807
227	5246.78026
228	5244.788463
229	5240.182659
230	5238.249709
231	5237.581166
232	5236.476021
233	5235.238987
234	5234.056655
235	5233.828541
236	5232.950272
237	5230.402681
238	5211.955456
239	5210.948415
240	5206.303254
241	5202.21868
242	5199.638903
243	5196.984579
244	5195.788325
245	5178.254299
246	5176.896393
247	5160.062898
248	5159.007198
249	5153.044443
250	5150.940976
251	5133.82351
252	5130.577422
253	5113.705036
254	5112.115882
255	5109.947069
256	5109.185948
257	5107.788707
258	5103.953047
259	5099.442275
260	5098.380099
261	5094.077997
262	5086.635085
263	5083.90856
264	5083.475156
265	5082.142976
266	5082.033003
267	5081.561847
268	5080.196643
269	5073.0794
270	5071.902274
271	5071.76205
272	5071.105918
273	5070.042388
274	5064.492018
275	5063.47961
276	5061.792325
277	5060.328433
278	5058.871007
279	5057.37207
280	5054.84017
281	5051.188408
282	5050.246685
283	5049.236278
284	5047.014104
285	5046.610781
286	5039.791608
287	5024.178027
288	5023.455556
289	5022.227735
290	5021.659721
291	5020.807837
292	5016.54676
293	5010.94306
294	5010.444352
295	4995.402093
296	4993.878161
297	4977.39946
298	4976.633889
299	4960.87799
300	4959.482429
301	4957.132013
302	4956.642734
303	4939.925907
304	4936.324056
305	4935.618016
306	4923.07078
307	4920.779564
308	4919.79058
309	4917.389694
310	4916.07552
311	4914.923032
312	4900.978278
313	4894.383693
314	4893.634412
315	4892.481914
316	4892.177191
317	4891.63392
318	4890.318895
319	4889.605419
320	4884.046617
321	4878.740496
322	4876.052843
323	4874.667419
324	4873.565789
325	4865.334342
326	4857.651491
327	4844.604219
328	4844.097446
329	4835.396234
330	4834.243202
331	4829.01707
332	4827.604513
333	4826.611679
334	4826.40469
335	4825.936928
336	4825.337783
337	4824.925292
338	4824.10636
339	4823.247682
340	4821.729036
341	4821.192551
342	4817.44352
343	4816.474587
344	4810.996553
345	4798.102188
346	4797.026025
347	4784.666483
348	4783.070822
349	4781.542654
350	4780.056662
351	4779.582743
352	4778.995883
353	4773.980186
354	4773.907997
355	4772.847474
356	4772.750928
357	4769.949707
358	4769.213353
359	4768.849328
360	4768.191307
361	4767.207489
362	4766.693842
363	4761.902366
364	4754.548105
365	4752.635181
366	4751.933628
367	4751.258322
368	4750.847279
369	4749.548985
370	4748.635782
371	4747.898569
372	4747.016862
373	4745.554058
374	4744.795147
375	4740.189303
376	4739.611998
377	4738.259686
378	4737.876937
379	4736.15623
380	4735.672466
381	4734.042297
382	4731.90587
383	4730.485324
384	4730.136056
385	4729.522046
386	4717.575281
387	4704.333224
388	4702.686427
389	4701.87091
390	4690.873286
391	4682.162447
392	4681.433239
393	4680.526601
394	4679.706671
395	4679.357751
396	4677.143912
397	4665.486042
398	4664.364063
399	4661.347077
